Date,Open,High,Low,Close ,Adj Close ,Volume,Currency
1-Jun-18,"10,738.45","10,893.25","10,550.90","10,714.30","10,714.30","4,683,800",INR
1-May-18,"10,783.85","10,929.20","10,417.80","10,736.15","10,736.15","5,142,500",INR
1-Apr-18,"10,151.65","10,759.00","10,111.30","10,739.35","10,739.35","4,499,400",INR
1-Mar-18,"10,479.95","10,525.50","9,951.90","10,113.70","10,113.70","4,389,100",INR
1-Feb-18,"11,044.55","11,117.35","10,276.30","10,492.85","10,492.85","4,389,900",INR
1-Jan-18,"10,477.55","11,171.55","10,404.65","11,027.70","11,027.70","4,560,600",INR
1-Dec-17,"10,263.70","10,552.40","10,033.35","10,530.70","10,530.70","3,504,400",INR
1-Nov-17,"10,390.35","10,490.45","10,094.00","10,226.55","10,226.55","4,650,900",INR
1-Oct-17,"9,893.30","10,384.50","9,831.05","10,335.30","10,335.30","4,500,300",INR
1-Sep-17,"9,937.65","10,178.95","9,687.55","9,788.60","9,788.60","4,165,300",INR
1-Aug-17,"10,101.05","10,137.85","9,685.55","9,917.90","9,917.90","4,168,000",INR
1-Jul-17,"9,587.95","10,114.85","9,543.55","10,077.10","10,077.10","3,732,400",INR
1-Jun-17,"9,603.55","9,709.30","9,448.75","9,520.90","9,520.90","3,558,000",INR
1-May-17,"9,339.85","9,649.60","9,269.90","9,621.25","9,621.25","4,541,800",INR
1-Apr-17,"9,220.60","9,367.15","9,075.15","9,304.05","9,304.05","2,931,300",INR
1-Mar-17,"8,904.40","9,218.40","8,860.10","9,173.75","9,173.75","4,835,000",INR
1-Feb-17,"8,570.35","8,982.15","8,537.50","8,879.60","8,879.60","4,398,500",INR
1-Jan-17,"8,210.10","8,672.70","8,133.80","8,561.30","8,561.30","4,009,100",INR
1-Dec-16,"8,244.00","8,274.95","7,893.80","8,185.80","8,185.80","3,118,800",INR
1-Nov-16,"8,653.15","8,669.60","7,916.40","8,224.50","8,224.50","4,585,400",INR
1-Oct-16,"8,666.15","8,806.95","8,506.15","8,638.00","8,638.00","3,165,200",INR
1-Sep-16,"8,793.60","8,968.70","8,555.20","8,611.15","8,611.15","3,900,400",INR
1-Aug-16,"8,654.30","8,819.20","8,518.15","8,786.20","8,786.20","3,826,100",INR
1-Jul-16,"8,313.05","8,674.70","8,287.55","8,638.50","8,638.50","3,321,700",INR
1-Jun-16,"8,179.20","8,308.15","7,927.05","8,287.75","8,287.75","4,193,500",INR
1-May-16,"7,822.70","8,213.60","7,678.35","8,160.10","8,160.10","4,361,300",INR
1-Apr-16,"7,718.05","7,992.00","7,516.85","7,849.80","7,849.80","3,538,800",INR
1-Mar-16,"7,038.25","7,777.60","7,035.10","7,738.40","7,738.40","4,809,600",INR
1-Feb-16,"7,589.50","7,600.45","6,825.80","6,987.05","6,987.05","5,170,500",INR
1-Jan-16,"7,924.55","7,937.55","7,241.50","7,563.55","7,563.55","3,781,100",INR
1-Dec-15,"7,958.15","7,979.30","7,551.05","7,946.35","7,946.35","3,026,200",INR
1-Nov-15,"8,054.55","8,116.10","7,714.15","7,935.25","7,935.25","2,868,500",INR
1-Oct-15,"7,992.05","8,336.30","7,930.65","8,065.80","8,065.80","3,364,200",INR
1-Sep-15,"7,907.95","8,055.00","7,539.50","7,948.90","7,948.90","3,436,500",INR
1-Aug-15,"8,510.65","8,621.55","7,667.25","7,971.30","7,971.30","3,939,200",INR
1-Jul-15,"8,376.25","8,654.75","8,315.40","8,532.85","8,532.85","3,097,900",INR
1-Jun-15,"8,417.25","8,467.15","7,940.30","8,368.50","8,368.50","3,156,900",INR
1-May-15,"8,230.05","8,489.55","7,997.15","8,433.65","8,433.65","3,384,800",INR
1-Apr-15,"8,483.70","8,841.65","8,144.75","8,181.50","8,181.50","3,108,200",INR
1-Mar-15,"8,953.85","9,119.20","8,269.15","8,491.00","8,491.00","3,727,800",INR
1-Feb-15,"8,802.50","8,913.45","8,470.50","8,844.60","8,844.60","3,430,800",INR
1-Jan-15,"8,288.70","8,996.60","8,065.45","8,808.90","8,808.90","3,373,200",INR
1-Dec-14,"8,605.10","8,626.95","7,961.35","8,282.70","8,282.70","3,148,800",INR
1-Nov-14,"8,348.15","8,617.00","8,290.25","8,588.25","8,588.25","2,698,000",INR
1-Oct-14,"7,960.50","8,330.75","7,723.85","8,322.20","8,322.20","2,696,600",INR
1-Sep-14,"7,990.35","8,180.20","7,841.80","7,964.80","7,964.80","2,931,900",INR
1-Aug-14,"7,662.50","7,968.25","7,540.10","7,954.35","7,954.35","2,481,800",INR
1-Jul-14,"7,629.00","7,840.95","7,422.15","7,721.30","7,721.30","3,315,500",INR
1-Jun-14,"7,264.05","7,700.05","7,239.50","7,611.35","7,611.35","3,619,400",INR
1-May-14,"6,709.95","7,563.50","6,638.55","7,229.95","7,229.95","4,282,600",INR
1-Apr-14,"6,729.50","6,869.85","6,650.40","6,696.40","6,696.40","2,672,300",INR
1-Mar-14,"6,264.35","6,730.05","6,212.25","6,704.20","6,704.20","3,853,200",INR
1-Feb-14,"6,058.80","6,282.70","5,933.30","6,276.95","6,276.95","2,688,200",INR
1-Jan-14,"6,301.25","6,358.30","6,027.25","6,089.50","6,089.50","3,280,800",INR
1-Dec-13,"6,171.15","6,415.25","6,129.95","6,304.00","6,304.00","3,616,400",INR
1-Nov-13,"6,289.75","6,332.60","5,972.45","6,176.10","6,176.10","3,008,100",INR
1-Oct-13,"5,756.10","6,309.05","5,700.95","6,299.15","6,299.15","3,840,600",INR
1-Sep-13,"5,480.25","6,142.50","5,318.90","5,735.30","5,735.30","4,485,900",INR
1-Aug-13,"5,776.90","5,808.50","5,118.85","5,471.80","5,471.80","5,011,800",INR
1-Jul-13,"5,834.10","6,093.35","5,675.75","5,742.00","5,742.00","3,519,500",INR
1-Jun-13,"5,997.35","6,011.00","5,566.25","5,842.20","5,842.20","2,981,700",INR
1-May-13,"5,911.40","6,229.45","5,910.95","5,985.95","5,985.95","3,077,100",INR
1-Apr-13,"5,697.35","5,962.30","5,477.20","5,930.20","5,930.20","2,725,300",INR
1-Mar-13,"5,702.45","5,971.20","5,604.85","5,682.55","5,682.55","2,879,100",INR
1-Feb-13,"6,040.95","6,052.95","5,671.90","5,693.05","5,693.05","3,081,200",INR
1-Jan-13,"5,982.60","6,111.80","5,940.60","6,034.75","6,034.75","1,293,100",INR
1-Dec-12,"5,878.25","5,965.15","5,823.15","5,905.10","5,905.10",NULL,INR
1-Nov-12,"5,609.85","5,885.25","5,548.35","5,879.85","5,879.85",NULL,INR
1-Oct-12,"5,704.75","5,815.35","4,888.20","5,619.70","5,619.70",NULL,INR
1-Sep-12,"5,276.50","5,735.15","5,215.70","5,703.30","5,703.30",NULL,INR
1-Aug-12,"5,220.70","5,448.60","5,164.65","5,258.50","5,258.50",NULL,INR
1-Jul-12,"5,283.85","5,348.55","5,032.40","5,229.00","5,229.00",NULL,INR
1-Jun-12,"4,910.85","5,286.25","4,770.35","5,278.90","5,278.90",NULL,INR
1-May-12,"5,254.30","5,279.60","4,788.95","4,924.25","4,924.25",NULL,INR
1-Apr-12,"5,296.35","5,378.75","5,154.30","5,248.15","5,248.15",NULL,INR
1-Mar-12,"5,366.00","5,499.40","5,135.95","5,295.55","5,295.55",NULL,INR
1-Feb-12,"5,198.15","5,629.95","5,159.00","5,385.20","5,385.20",NULL,INR
1-Jan-12,"4,675.80","5,217.00","4,675.80","5,199.25","5,199.25",NULL,INR
1-Dec-11,"4,970.85","5,099.25","4,531.15","4,624.30","4,624.30",NULL,INR
1-Nov-11,"5,278.60","5,326.45","4,640.95","4,832.05","4,832.05",NULL,INR
1-Oct-11,"4,874.40","5,399.70","4,728.30","5,326.60","5,326.60",NULL,INR
1-Sep-11,"5,109.80","5,169.25","4,758.85","4,943.25","4,943.25",NULL,INR
1-Aug-11,"5,527.50","5,551.90","4,720.00","5,001.00","5,001.00",NULL,INR
1-Jul-11,"5,705.75","5,740.40","5,453.95","5,482.00","5,482.00",NULL,INR
1-Jun-11,"5,561.05","5,657.90","5,195.90","5,647.40","5,647.40",NULL,INR
1-May-11,"5,766.90","5,775.25","5,328.70","5,473.10","5,473.10",NULL,INR
